COUNTRY	TIMESTAMP	TIME	TIMEZONE	CITY_NAME	LAT	LON	TEMP	FEELS_LIKE	TEMP_MIN	TEMP_MAX	PRESSURE	SEA_LEVEL	GRND_LEVEL	HUMIDITY	WIND_SPEED	WIND_DIRECTION	RAIN_1H	RAIN_3H	SNOW_1H	SNOW_3H	CLOUDS_ALL	WEATHER_ID	WEATHER_MAIN	WEATHER_DESCRIPTION	WEATHER_ICON
India	2020-07-13	IST	+05:30 UTC	Bangalore	52.954783	-1.158109	17.034583333	15.758333333	15.583333333	18.63125	1022.375			71.958333333	2.566666667	96.25					56.208333333	802.541667	Clouds	scattered clouds	04n
India	2020-06-12	IST	+05:30 UTC	Hyderabad	51.752021	-1.257726	14.25375	12.378333333	13.15	15.172916667	1017.125			80.083333333	3.054166667	82.916666667					47.541666667	790.958333	Mist	sky is clear	50d
India	2020-08-02	IST	+05:30 UTC	Hyderabad	51.752021	-1.257726	20.430416667	20.157083333	19.345833333	21.41375	1022.666666667			70.5	2.483333333	222.083333333					25.416666667	801.291667	Clouds	sky is clear	04d
India	2020-06-07	IST	+05:30 UTC	Patna	53.795984	-1.759398	13.15875	11.67625	11.652916667	15.210833333	1018.291666667			82.875	2.2375	75					55.458333333	798.166667	Mist	sky is clear	50d
India	2020-07-22	IST	+05:30 UTC	Patna	53.795984	-1.759398	19.737916667	20.555416667	17.105416667	22.033333333	1015			85.166666667	2.379166667	279.166666667					64.416666667	802.875000	Clouds	scattered clouds	04n
India	2020-06-14	IST	+05:30 UTC	Patna	53.795984	-1.759398	15.62	10.429583333	14.24875	16.766666667	1006.125			67.75	7.316666667	241.25					44.125	778.458333	Rain	sky is clear	09n
India	2020-06-29	IST	+05:30 UTC	Jaipur	51.430921	-0.09365	19.208333333	17.515833333	17.4075	20.80875	1021.5			69.083333333	3.6	53.75					6.125	800.250000	Clouds	sky is clear	03d
India	2020-07-25	IST	+05:30 UTC	Jaipur	51.430921	-0.09365	23.690833333	23.871666667	22.242916667	25.071666667	1016.083333333			60.916666667	2.085833333	216.25					23.791666667	801.083333	Clouds	sky is clear	04d
India	2020-08-30	IST	+05:30 UTC	Birmingham	52.486243	-1.890401	13.197916667	11.145416667	12.156666667	14.147916667	1023.541666667			66.166666667	1.77875	140.833333333					60.5	802.541667	Clouds	sky is clear	04n
India	2020-08-09	IST	+05:30 UTC	Birmingham	52.486243	-1.890401	16.0525	13.512916667	14.861666667	17.145833333	1013.25			58.125	2.809166667	261.666666667					63.583333333	767.583333	Rain	scattered clouds	09d
India	2020-06-30	IST	+05:30 UTC	Lucknow	52.586973	-2.12882	19.3375	16.698333333	18.444583333	20.120833333	1017.375			59.125	3.9125	58.333333333					27.125	801.166667	Clouds	sky is clear	04n
India	2020-08-29	IST	+05:30 UTC	Lucknow	52.586973	-2.12882	14.185416667	12.1175	13.110833333	15.330833333	1016.875			75.458333333	2.93375	263.333333333					51.75	802.208333	Clouds	sky is clear	04n
India	2020-07-27	IST	+05:30 UTC	Ahmedabad	53.408371	-2.991573	20.787083333	19.932083333	18.5375	22.852916667	1007.666666667			71.541666667	3.766666667	182.916666667					51.416666667	802.250000	Clouds	sky is clear	04n
